"pop2024","pop2020","growth","name","aland_sqmi","intptlat","intptlong","slug","usps","lng","lat","rank","density"
3790742,3895836,-0.00414,"Los Angeles",468.956,34.0194,-118.411,"los-angeles-ca","CA",-118.411,34.0194,1,8083
1394518,1386872,0.00481,"San Diego",325.877,32.815,-117.136,"san-diego-ca","CA",-117.136,32.815,2,4279
950767,1009830,-0.01065,"San Jose",177.808,37.2967,-121.819,"san-jose-ca","CA",-121.819,37.2967,3,5347
802805,870393,-0.0035,"San Francisco",46.903,37.7272,-123.032,"san-francisco-ca","CA",-123.032,37.7272,4,17116
548881,542447,0.00303,"Fresno",114.725,36.7827,-119.794,"fresno-ca","CA",-119.794,36.7827,5,4784
532101,525668,0.00387,"Sacramento",97.73,38.5666,-121.469,"sacramento-ca","CA",-121.469,38.5666,6,5445
445253,465448,-0.00675,"Long Beach",50.696,33.7781,-118.167,"long-beach-ca","CA",-118.167,33.7781,7,8783
419077,440873,-0.01351,"Oakland",55.893,37.7698,-122.226,"oakland-ca","CA",-122.226,37.7698,8,7498
413783,405181,0.0038,"Bakersfield",149.758,35.3536,-119.037,"bakersfield-ca","CA",-119.037,35.3536,9,2763
341035,347105,-0.005,"Anaheim",50.32,33.8236,-118.016,"anaheim-ca","CA",-118.016,33.8236,10,6777
334468,315469,0.02091,"Riverside",81.258,33.9381,-117.393,"riverside-ca","CA",-117.393,33.9381,11,4116
330863,308974,0.02665,"Irvine",65.619,33.6784,-117.771,"irvine-ca","CA",-117.771,33.6784,12,5042
320243,321023,-0.00245,"Stockton",62.172,37.9763,-121.313,"stockton-ca","CA",-121.313,37.9763,13,5151
307025,309921,-0.00189,"Santa Ana",27.361,33.7363,-117.883,"santa-ana-ca","CA",-117.883,33.7363,14,11221
283494,276041,0.00768,"Chula Vista",49.641,32.6277,-117.015,"chula-vista-ca","CA",-117.015,32.6277,15,5711
218549,230194,-0.01203,"Fremont",77.465,37.501,-122.084,"fremont-ca","CA",-122.084,37.501,16,2821
218500,222028,-0.00417,"San Bernardino",62.108,34.1411,-117.295,"san-bernardino-ca","CA",-117.295,34.1411,17,3518
216345,208620,0.00902,"Fontana",43.072,34.109,-117.463,"fontana-ca","CA",-117.463,34.109,18,5023
216311,218654,-0.00405,"Modesto",42.977,37.6375,-121.003,"modesto-ca","CA",-121.003,37.6375,19,5033
215395,228065,-0.01362,"Santa Clarita",70.755,34.4141,-118.495,"santa-clarita-ca","CA",-118.495,34.4141,20,3044
212644,209107,0.0017,"Moreno Valley",51.257,33.9233,-117.206,"moreno-valley-ca","CA",-117.206,33.9233,21,4149
197137,202244,-0.00825,"Oxnard",26.528,34.1994,-119.208,"oxnard-ca","CA",-119.208,34.1994,22,7431
